Date,Company_Name,Brand_Name,Symbol Currency,Sub Total,VAT Amount,Total,Customer_Category,Trade_Type,Status,
19 Feb 2024,Greenland Rajawali Utama,Four Seasons Hotel Jakarta,Rp,"85,050,000.","9,355,500.","94,405,500.",Hotel,Local,Terproses,
21 Mar 2024,Greenland Rajawali Utama,Four Seasons Hotel Jakarta,Rp,"1,380,000.","151,800.","1,531,800.",Hotel,Local,Terproses,
19 Sep 2024,Greenland Rajawali Utama,Four Seasons Hotel Jakarta,Rp,"85,050,000.","9,355,500.","94,405,500.",Hotel,Local,Sebagian diproses,
24 Mar 2025,Greenland Rajawali Utama,Four Seasons Hotel Jakarta,Rp,"15,430,000.","1,697,300.","17,127,300.",Hotel,Local,Terproses,
01 Jul 2024,Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,Rp,"9,975,000.","1,097,250.","11,072,250.",Hotel,Local,Terproses,
02 Jul 2024,Griya Pancaloka,Sofitel Bali Nusa Dua Beach Resort,Rp,"4,275,000.","470,250.","4,745,250.",Hotel,Local,Terproses,
10 Sep 2024,Groupx Kolektif Indonesia,Marea,Rp,"9,720,000.","1,069,200.","10,789,200.",Restaurant,Local,Terproses,
01 Jan 2024,Guum Pte. Ltd.,Guum,$,"6,650.",0.,"6,650.",Restaurant,Export,Terproses,
18 Mar 2024,HUGO BOSS South East Asia Pte.Ltd.,HUGO BOSS,$,"5,364.",590.04,"5,954.04",Hotel,Local,Terproses,
22 Jan 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,$,"1,050.",0.,"1,050.",Hotel,Export,Terproses,
19 Sep 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,$,"6,684.",0.,"6,684.",Hotel,Export,Terproses,
02 Oct 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,$,"6,700.",0.,"6,700.",Hotel,Export,Terproses,
31 Oct 2024,"Hai Ha Handicraft Co., Ltd",Hai Ha,$,"8,584.",0.,"8,584.",Hotel,Export,Terproses,
27 Mar 2024,Hamish & Raisa,Hamish & Raisa,Rp,"10,085,000.","1,109,350.","11,194,350.",Personal,Local,Terproses,
11 Dec 2024,Handara Golf & Resort Bali,Sarana Buana Handara,Rp,"224,040,000.","24,644,400.","248,684,400.",Hotel,Local,Terproses,
22 Jan 2025,Harmoni Cakrawala Bali,Mandarin Oriental Bali,Rp,"1,040,000.","114,400.","1,154,400.",Hotel,Local,Terproses,
22 Jan 2025,Harmoni Cakrawala Bali,Mandarin Oriental Bali,Rp,"23,745,000.","2,611,950.","26,356,950.",Hotel,Local,Terproses,
10 Feb 2025,Harmoni Cakrawala Bali,Mandarin Oriental Bali,Rp,"990,000.","108,900.","1,098,900.",Hotel,Local,Terproses,
20 Feb 2025,Harmoni Cakrawala Bali,Mandarin Oriental Bali,Rp,"3,100,000.","341,000.","3,441,000.",Hotel,Local,Terproses,
05 Aug 2024,Heritage Resorts and Spas,Buahan a Banyan Tree Escape,Rp,"54,378,000.","5,981,580.","60,359,580.",Hotel,Local,Terproses,
06 Feb 2025,Heritage Resorts and Spas,Buahan a Banyan Tree Escape,Rp,"12,480,000.","1,372,800.","13,852,800.",Hotel,Local,Terproses,
28 Feb 2025,Heritage Resorts and Spas,Buahan a Banyan Tree Escape,Rp,"9,790,000.","1,076,900.","10,866,900.",Hotel,Local,Terproses,
18 Dec 2024,Hilton London (Smeeta),Smeeta,$,"4,305.",0.,"4,305.",Hotel,Export,Terproses,
05 Dec 2024,Hiyoko 2.0 Jakarta,Hiyoko 2.0,Rp,"17,340,000.","1,907,400.","19,247,400.",Restaurant,Local,Terproses,
