      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
29,Six Senses Istanbul,,16/May/24,,," USD  1,750.00 ",,,,,,,,
30,Capella Singapore - Creamer,,17/May/24,,, USD  400.00 ,,,,,,,,
31,Bokashi Berawa,,21/May/24,," IDR  16,320,000 ",,,,,,,,,
32,Ayana Karang Restaurant (sample),,21/May/24,," IDR  13,860,000 ",,,,,,,,,
33,The Kemilau ,,21/May/24,," IDR  15,840,000 ",,,,,,,,,
34,Ismaya Jakarta - Charcoal,,21/May/24,," IDR  3,800,000 ",,,,,,,,,
35,Luna Beach Hotel - Chopstick,,21/May/24,," IDR  15,000,000 ",,,,,,,,,
36,Motel Mexicola - BnB Plate,,21/May/24,," IDR  15,000,000 ",,,,,,,,,
37,Indigo Bintan Chinese Additional,,21/May/24,," IDR 105,030,000 ",,,,,,,,,
38,Luxury Collection Lombok,,22/May/24,," IDR  182,400,000 ",,,,,,,,,
39,Arna Beach Glamping ,,22/May/24,," IDR  89,880,000 ",,,,,,,,,
40,Jeffrey Grimes,,22/May/24,,," USD  2,633.00 ",,,,,,,,
41,Le Royal Meridien,,24/May/24,,, USD  750.00 ,,,,,,,,
43,Jeffrey Grimes,,24/May/24,,," USD  2,673.00 ",,,,,,,,
44,The Westin Nusa Dua (Hamabe),,28/May/24,," IDR  51,600,000 ",,,,,,,,,
